Região;UF;Cidade;Sexo;Faixa Etária;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
SE;MG;Belo Horizonte;M;entre 61 a 70 anos;2025-01-20;10;Banco Master (antigo Banco Máxima);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Demais Seguros;Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1
CO;MT;Cuiabá;M;entre 31 a 40 anos;2025-01-15;10;Cartões Itaú;Bancos, Financeiras e Administradoras de Cartão;Demais Serviços;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;N;S;Finalizada avaliada;Não Resolvida;1
NE;SE;Aracaju;M;entre 21 a 30 anos;2025-01-12;10;BaneseCard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Internet;S;S;Finalizada avaliada;Não Resolvida;5
CO;MS;Campo Grande;F;entre 61 a 70 anos;2025-01-27;7;BrasilCard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Atendimento / SAC;SAC - Dificuldade para cancelar o serviço;Loja física;S;S;Finalizada avaliada;Resolvida;5
SE;RJ;Rio de Janeiro;M;entre 41 a 50 anos;2025-01-17;10;Banco Bradesco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Renegociação / parcelamento de dívida;Não comprei / contratei;N;S;Finalizada avaliada;Não Resolvida;3
S;SC;Maravilha;M;entre 31 a 40 anos;2025-01-31;7;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Cobrança / Contestação;Cobrança após cancelamento do serviço;Domicílio;S;S;Finalizada avaliada;Resolvida;4
S;PR;Curitiba;M;entre 31 a 40 anos;2025-01-09;10;Ligga Telecom (antiga Copel Telecom);Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Internet;S;S;Finalizada avaliada;Resolvida;5
NE;BA;Salvador;M;entre 21 a 30 anos;2025-01-22;;Jadlog;Empresas de Serviços Postais e Logística;Transportes;Cargas e Encomendas;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;N;Finalizada avaliada;Resolvida;3
NE;CE;Fortaleza;M;entre 31 a 40 anos;2025-01-02;10;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança de compra/saque não reconhecido;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1
SE;MG;Betim;M;entre 41 a 50 anos;2025-01-04;3;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Funcionamento inadequado do serviço;Internet;N;S;Finalizada avaliada;Não Resolvida;1
